3.79, 0.2, 2.37
4.96, -0.49, 2.37
4.48, -0.3, 2.38
3.47, 0.91, 2.38
4.59, -0.36, 2.39
4.78, -0.45, 2.4
3.44, 1.0, 2.4
4.38, -0.26, 2.4
3.97, 0.0, 2.41
3.49, 0.63, 2.49
4.04, -0.12, 2.5
4.3, -0.34, 2.57
3.49, 0.54, 2.57
3.92, -0.09, 2.59
4.66, -0.54, 2.6
3.99, -0.16, 2.6
4.4, -0.42, 2.6
4.2, -0.31, 2.61
3.3, 1.36, 2.67
3.37, 0.81, 2.67
3.49, 0.43, 2.67
3.53, 0.33, 2.69
4.22, -0.39, 2.71
4.39, -0.51, 2.73
3.85, -0.15, 2.75
3.67, 0.04, 2.75
4.11, -0.39, 2.79
3.29, 0.94, 2.8
3.36, 0.62, 2.81
3.29, 0.96, 2.81
3.66, 0.01, 2.81
3.25, 1.17, 2.83
3.36, 0.53, 2.88
3.91, -0.33, 2.91
3.19, 1.29, 2.94
3.21, 0.97, 3.01
3.42, 0.18, 3.04
3.17, 1.09, 3.06
3.47, 0.04, 3.08
3.13, 1.28, 3.1
3.23, 0.47, 3.2
3.37, 0.08, 3.21
3.25, 0.33, 3.24
3.28, 0.23, 3.26
3.5, -0.22, 3.29
3.47, -0.21, 3.32
3.09, 0.85, 3.33
3.12, 0.46, 3.45
3.34, -0.17, 3.48
3.11, 0.41, 3.49
3.07, 0.58, 3.49
3.12, 0.31, 3.52
3.0, 0.8, 3.55
3.12, 0.25, 3.56
2.94, 1.23, 3.57
2.99, 0.71, 3.61
3.15, 0.07, 3.62
3.32, -0.31, 3.65
2.9, 1.13, 3.67
3.09, 0.14, 3.68
3.05, 0.21, 3.72
2.88, 1.01, 3.76
2.91, 0.54, 3.85
2.84, 0.92, 3.86
2.81, 1.2, 3.87
2.81, 1.18, 3.87
3.19, -0.36, 3.88
2.84, 0.88, 3.88
3.0, 0.07, 3.9
2.86, 0.68, 3.91
3.05, -0.12, 3.92
3.02, -0.03, 3.92
2.97, 0.06, 3.95
2.86, 0.53, 3.96
3.06, -0.27, 4.02
2.76, 0.99, 4.02
2.96, -0.12, 4.08
2.75, 0.55, 4.17
2.8, 0.3, 4.18
2.79, 0.28, 4.19
2.83, 0.07, 4.21
2.75, 0.26, 4.29
2.78, -0.02, 4.35
2.71, 0.16, 4.39
2.55, 1.07, 4.43
2.54, 0.95, 4.47
2.78, -0.3, 4.48
2.66, 0.15, 4.49
2.58, 0.63, 4.5
2.57, 0.7, 4.5
2.59, 0.46, 4.52
2.64, 0.16, 4.52
2.63, 0.17, 4.54
2.56, 0.49, 4.56
2.49, 1.05, 4.56
2.55, 0.47, 4.59
2.57, 0.15, 4.66
2.5, 0.51, 4.67
2.61, -0.08, 4.67
2.54, 0.15, 4.7
2.49, 0.34, 4.74
2.53, 0.07, 4.75
2.51, 0.1, 4.77
2.6, -0.3, 4.78
2.59, -0.27, 4.78
2.5, 0.11, 4.79
2.38, 0.83, 4.81
2.53, -0.09, 4.81
2.42, 0.19, 4.9
2.39, 0.26, 4.94
2.34, 0.33, 5.0
2.27, 0.83, 5.01
2.26, 0.82, 5.02
2.41, -0.2, 5.03
2.4, -0.22, 5.05
2.3, 0.34, 5.07
2.32, 0.16, 5.08
2.27, 0.39, 5.12
2.24, 0.45, 5.15
2.24, 0.34, 5.18
2.28, -0.01, 5.19
2.15, 0.82, 5.22
2.15, 0.71, 5.24
2.16, 0.63, 5.24
2.23, -0.13, 5.29
2.25, -0.21, 5.29
2.2, -0.2, 5.36
2.16, -0.06, 5.38
2.04, 0.32, 5.49
2.04, 0.08, 5.54
1.98, 0.47, 5.56
1.96, 0.48, 5.58
1.99, 0.02, 5.61
1.92, 0.37, 5.67
1.93, 0.18, 5.68
1.88, 0.42, 5.71
1.87, 0.48, 5.71
1.87, 0.54, 5.71
1.93, -0.19, 5.74
1.87, 0.09, 5.77
1.84, -0.02, 5.83
1.78, 0.55, 5.83
1.76, 0.26, 5.9
1.7, 0.61, 5.93
1.68, 0.67, 5.94
1.62, 0.49, 6.05
1.58, 0.44, 6.1
1.6, -0.14, 6.14
